Domain,Area,Element,Months,Year,Value
Temperature change,World,Temperature change,February,2018,1.348
Temperature change,World,Temperature change,February,2019,1.33
Temperature change,World,Temperature change,February,2020,2.368
Temperature change,World,Temperature change,March,1990,1.312
Temperature change,World,Temperature change,March,1991,0.671
Temperature change,World,Temperature change,March,1992,0.723
Temperature change,World,Temperature change,March,1993,0.804
Temperature change,World,Temperature change,March,1994,0.712
Temperature change,World,Temperature change,March,1995,0.844
Temperature change,World,Temperature change,March,1996,0.298
Temperature change,World,Temperature change,March,1997,0.829
Temperature change,World,Temperature change,March,1998,0.97
Temperature change,World,Temperature change,March,1999,0.375
Temperature change,World,Temperature change,March,2000,1.158
Temperature change,World,Temperature change,March,2001,1.196
Temperature change,World,Temperature change,March,2002,1.603
Temperature change,World,Temperature change,March,2003,0.805
Temperature change,World,Temperature change,March,2004,1.308
Temperature change,World,Temperature change,March,2005,1.311
Temperature change,World,Temperature change,March,2006,1.181
Temperature change,World,Temperature change,March,2007,1.243
Temperature change,World,Temperature change,March,2008,1.804
Temperature change,World,Temperature change,March,2009,0.968
Temperature change,World,Temperature change,March,2010,1.56
Temperature change,World,Temperature change,March,2011,1.002
Temperature change,World,Temperature change,March,2012,0.873
Temperature change,World,Temperature change,March,2013,1.112
Temperature change,World,Temperature change,March,2014,1.422
Temperature change,World,Temperature change,March,2015,1.728
Temperature change,World,Temperature change,March,2016,2.585
Temperature change,World,Temperature change,March,2017,1.978
Temperature change,World,Temperature change,March,2018,1.642
Temperature change,World,Temperature change,March,2019,2.107
Temperature change,World,Temperature change,March,2020,2.256
Temperature change,World,Temperature change,April,1990,0.588
Temperature change,World,Temperature change,April,1991,0.628
Temperature change,World,Temperature change,April,1992,0.259
Temperature change,World,Temperature change,April,1993,0.396
Temperature change,World,Temperature change,April,1994,0.629
Temperature change,World,Temperature change,April,1995,0.714
Temperature change,World,Temperature change,April,1996,0.099
Temperature change,World,Temperature change,April,1997,0.631
Temperature change,World,Temperature change,April,1998,1.329
Temperature change,World,Temperature change,April,1999,0.816
Temperature change,World,Temperature change,April,2000,1.382
Temperature change,World,Temperature change,April,2001,0.971
Temperature change,World,Temperature change,April,2002,0.804
Temperature change,World,Temperature change,April,2003,0.871
Temperature change,World,Temperature change,April,2004,0.879
Temperature change,World,Temperature change,April,2005,1.409
Temperature change,World,Temperature change,April,2006,0.759
Temperature change,World,Temperature change,April,2007,1.488
Temperature change,World,Temperature change,April,2008,0.816
Temperature change,World,Temperature change,April,2009,1.076
Temperature change,World,Temperature change,April,2010,1.518
Temperature change,World,Temperature change,April,2011,1.229
Temperature change,World,Temperature change,April,2012,1.527
Temperature change,World,Temperature change,April,2013,0.876
Temperature change,World,Temperature change,April,2014,1.443
Temperature change,World,Temperature change,April,2015,1.172
Temperature change,World,Temperature change,April,2016,2.055
Temperature change,World,Temperature change,April,2017,1.447
Temperature change,World,Temperature change,April,2018,1.334
Temperature change,World,Temperature change,April,2019,1.682
Temperature change,World,Temperature change,April,2020,1.616
Temperature change,World,Temperature change,May,1990,0.399
Temperature change,World,Temperature change,May,1991,0.164
Temperature change,World,Temperature change,May,1992,0.279
Temperature change,World,Temperature change,May,1993,0.416
Temperature change,World,Temperature change,May,1994,0.698
Temperature change,World,Temperature change,May,1995,0.572
Temperature change,World,Temperature change,May,1996,0.602
Temperature change,World,Temperature change,May,1997,0.455
Temperature change,World,Temperature change,May,1998,1.011
Temperature change,World,Temperature change,May,1999,0.619
Temperature change,World,Temperature change,May,2000,0.744
Temperature change,World,Temperature change,May,2001,1.013
Temperature change,World,Temperature change,May,2002,0.768
Temperature change,World,Temperature change,May,2003,1.022
Temperature change,World,Temperature change,May,2004,0.453
Temperature change,World,Temperature change,May,2005,1.04
Temperature change,World,Temperature change,May,2006,0.699
Temperature change,World,Temperature change,May,2007,1.076
Temperature change,World,Temperature change,May,2008,0.798
Temperature change,World,Temperature change,May,2009,0.766
Temperature change,World,Temperature change,May,2010,1.246
Temperature change,World,Temperature change,May,2011,0.84
Temperature change,World,Temperature change,May,2012,1.378
Temperature change,World,Temperature change,May,2013,1.176
Temperature change,World,Temperature change,May,2014,1.206
Temperature change,World,Temperature change,May,2015,1.353
Temperature change,World,Temperature change,May,2016,1.367
Temperature change,World,Temperature change,May,2017,1.254
Temperature change,World,Temperature change,May,2018,1.289
Temperature change,World,Temperature change,May,2019,1.254
Temperature change,World,Temperature change,May,2020,1.41
Temperature change,World,Temperature change,June,1990,0.577
Temperature change,World,Temperature change,June,1991,0.571
Temperature change,World,Temperature change,June,1992,0.125
Temperature change,World,Temperature change,June,1993,0.337
Temperature change,World,Temperature change,June,1994,0.642
Temperature change,World,Temperature change,June,1995,0.796
Temperature change,World,Temperature change,June,1996,0.375
Temperature change,World,Temperature change,June,1997,0.675
Temperature change,World,Temperature change,June,1998,1.048
Temperature change,World,Temperature change,June,1999,0.666
Temperature change,World,Temperature change,June,2000,0.614
Temperature change,World,Temperature change,June,2001,0.686
Temperature change,World,Temperature change,June,2002,0.782
Temperature change,World,Temperature change,June,2003,0.74
Temperature change,World,Temperature change,June,2004,0.57
Temperature change,World,Temperature change,June,2005,1.082
Temperature change,World,Temperature change,June,2006,1.094
Temperature change,World,Temperature change,June,2007,0.763
Temperature change,World,Temperature change,June,2008,0.786
Temperature change,World,Temperature change,June,2009,0.8
Temperature change,World,Temperature change,June,2010,1.192
Temperature change,World,Temperature change,June,2011,1.026
Temperature change,World,Temperature change,June,2012,1.287
Temperature change,World,Temperature change,June,2013,1.162
Temperature change,World,Temperature change,June,2014,1.046
Temperature change,World,Temperature change,June,2015,1.337
Temperature change,World,Temperature change,June,2016,1.315
Temperature change,World,Temperature change,June,2017,1.223
Temperature change,World,Temperature change,June,2018,1.077
Temperature change,World,Temperature change,June,2019,1.473
Temperature change,World,Temperature change,June,2020,1.4
Temperature change,World,Temperature change,July,1990,0.227
Temperature change,World,Temperature change,July,1991,0.43
Temperature change,World,Temperature change,July,1992,-0.284
Temperature change,World,Temperature change,July,1993,0.318
Temperature change,World,Temperature change,July,1994,0.36
Temperature change,World,Temperature change,July,1995,0.544
Temperature change,World,Temperature change,July,1996,0.466
Temperature change,World,Temperature change,July,1997,0.508
Temperature change,World,Temperature change,July,1998,1.203
Temperature change,World,Temperature change,July,1999,0.686
Temperature change,World,Temperature change,July,2000,0.529
Temperature change,World,Temperature change,July,2001,0.833
Temperature change,World,Temperature change,July,2002,1.041
Temperature change,World,Temperature change,July,2003,0.792
Temperature change,World,Temperature change,July,2004,0.489
Temperature change,World,Temperature change,July,2005,0.971
Temperature change,World,Temperature change,July,2006,0.961
Temperature change,World,Temperature change,July,2007,0.824
Temperature change,World,Temperature change,July,2008,0.876
Temperature change,World,Temperature change,July,2009,0.719
Temperature change,World,Temperature change,July,2010,1.21
Temperature change,World,Temperature change,July,2011,1.036
Temperature change,World,Temperature change,July,2012,1.056
Temperature change,World,Temperature change,July,2013,0.87
Temperature change,World,Temperature change,July,2014,0.862
Temperature change,World,Temperature change,July,2015,1.125
Temperature change,World,Temperature change,July,2016,1.273
Temperature change,World,Temperature change,July,2017,1.257
Temperature change,World,Temperature change,July,2018,1.272
Temperature change,World,Temperature change,July,2019,1.196
Temperature change,World,Temperature change,July,2020,1.299
Temperature change,World,Temperature change,August,1990,0.425
Temperature change,World,Temperature change,August,1991,0.411
Temperature change,World,Temperature change,August,1992,-0.074
Temperature change,World,Temperature change,August,1993,0.228
Temperature change,World,Temperature change,August,1994,0.36
Temperature change,World,Temperature change,August,1995,0.861
Temperature change,World,Temperature change,August,1996,0.371
Temperature change,World,Temperature change,August,1997,0.669
Temperature change,World,Temperature change,August,1998,1.122
Temperature change,World,Temperature change,August,1999,0.567
Temperature change,World,Temperature change,August,2000,0.679
Temperature change,World,Temperature change,August,2001,0.981
Temperature change,World,Temperature change,August,2002,0.859
Temperature change,World,Temperature change,August,2003,0.941
Temperature change,World,Temperature change,August,2004,0.523
Temperature change,World,Temperature change,August,2005,0.875
Temperature change,World,Temperature change,August,2006,0.938
Temperature change,World,Temperature change,August,2007,0.911
Temperature change,World,Temperature change,August,2008,0.788
Temperature change,World,Temperature change,August,2009,0.948
Temperature change,World,Temperature change,August,2010,1.074
Temperature change,World,Temperature change,August,2011,1.016
Temperature change,World,Temperature change,August,2012,1.004
Temperature change,World,Temperature change,August,2013,0.835
Temperature change,World,Temperature change,August,2014,1.054
Temperature change,World,Temperature change,August,2015,1.262
Temperature change,World,Temperature change,August,2016,1.439
Temperature change,World,Temperature change,August,2017,1.297
Temperature change,World,Temperature change,August,2018,1.043
Temperature change,World,Temperature change,August,2019,1.17
Temperature change,World,Temperature change,August,2020,1.34
Temperature change,World,Temperature change,September,1990,0.393
Temperature change,World,Temperature change,September,1991,0.431
Temperature change,World,Temperature change,September,1992,-0.286
Temperature change,World,Temperature change,September,1993,-0.039
Temperature change,World,Temperature change,September,1994,0.486
Temperature change,World,Temperature change,September,1995,0.656
Temperature change,World,Temperature change,September,1996,0.099
Temperature change,World,Temperature change,September,1997,0.76
Temperature change,World,Temperature change,September,1998,0.88
Temperature change,World,Temperature change,September,1999,0.679
Temperature change,World,Temperature change,September,2000,0.471
Temperature change,World,Temperature change,September,2001,0.694
Temperature change,World,Temperature change,September,2002,0.839
Temperature change,World,Temperature change,September,2003,0.889
Temperature change,World,Temperature change,September,2004,0.658
Temperature change,World,Temperature change,September,2005,1.116
Temperature change,World,Temperature change,September,2006,0.891
Temperature change,World,Temperature change,September,2007,0.987
Temperature change,World,Temperature change,September,2008,0.678
Temperature change,World,Temperature change,September,2009,1.184
Temperature change,World,Temperature change,September,2010,0.894
Temperature change,World,Temperature change,September,2011,1.005
Temperature change,World,Temperature change,September,2012,1.11
Temperature change,World,Temperature change,September,2013,0.869
Temperature change,World,Temperature change,September,2014,0.897
Temperature change,World,Temperature change,September,2015,1.324
Temperature change,World,Temperature change,September,2016,1.399
Temperature change,World,Temperature change,September,2017,1.311
Temperature change,World,Temperature change,September,2018,1.156
Temperature change,World,Temperature change,September,2019,1.381
Temperature change,World,Temperature change,September,2020,1.535
Temperature change,World,Temperature change,October,1990,0.526
Temperature change,World,Temperature change,October,1991,0.379
Temperature change,World,Temperature change,October,1992,-0.148
Temperature change,World,Temperature change,October,1993,0.275
Temperature change,World,Temperature change,October,1994,0.732
Temperature change,World,Temperature change,October,1995,0.843
Temperature change,World,Temperature change,October,1996,0.187
Temperature change,World,Temperature change,October,1997,0.822
Temperature change,World,Temperature change,October,1998,0.817
Temperature change,World,Temperature change,October,1999,0.633
Temperature change,World,Temperature change,October,2000,0.276
Temperature change,World,Temperature change,October,2001,0.64
Temperature change,World,Temperature change,October,2002,0.607
Temperature change,World,Temperature change,October,2003,1.215
Temperature change,World,Temperature change,October,2004,0.876
Temperature change,World,Temperature change,October,2005,1.294
Temperature change,World,Temperature change,October,2006,1.187
Temperature change,World,Temperature change,October,2007,1.137
Temperature change,World,Temperature change,October,2008,1.27
Temperature change,World,Temperature change,October,2009,0.872
Temperature change,World,Temperature change,October,2010,1.173
Temperature change,World,Temperature change,October,2011,1.174
Temperature change,World,Temperature change,October,2012,1.129
Temperature change,World,Temperature change,October,2013,0.994
Temperature change,World,Temperature change,October,2014,1.056
Temperature change,World,Temperature change,October,2015,1.552
Temperature change,World,Temperature change,October,2016,0.996
Temperature change,World,Temperature change,October,2017,1.185
Temperature change,World,Temperature change,October,2018,1.376
Temperature change,World,Temperature change,October,2019,1.516
Temperature change,World,Temperature change,October,2020,1.386
Temperature change,World,Temperature change,November,1990,1.053
Temperature change,World,Temperature change,November,1991,0.21
Temperature change,World,Temperature change,November,1992,-0.204
Temperature change,World,Temperature change,November,1993,-0.363
Temperature change,World,Temperature change,November,1994,0.734
Temperature change,World,Temperature change,November,1995,0.768
Temperature change,World,Temperature change,November,1996,0.415
Temperature change,World,Temperature change,November,1997,0.632
Temperature change,World,Temperature change,November,1998,0.382
Temperature change,World,Temperature change,November,1999,0.61
Temperature change,World,Temperature change,November,2000,0.094
Temperature change,World,Temperature change,November,2001,1.334
Temperature change,World,Temperature change,November,2002,0.953
Temperature change,World,Temperature change,November,2003,0.784
Temperature change,World,Temperature change,November,2004,1.361
Temperature change,World,Temperature change,November,2005,1.507
Temperature change,World,Temperature change,November,2006,0.949
Temperature change,World,Temperature change,November,2007,1.039
Temperature change,World,Temperature change,November,2008,1.321
Temperature change,World,Temperature change,November,2009,1.034
Temperature change,World,Temperature change,November,2010,1.641
Temperature change,World,Temperature change,November,2011,0.725
Temperature change,World,Temperature change,November,2012,1.183
Temperature change,World,Temperature change,November,2013,1.476
Temperature change,World,Temperature change,November,2014,0.773
Temperature change,World,Temperature change,November,2015,1.534
Temperature change,World,Temperature change,November,2016,1.119
Temperature change,World,Temperature change,November,2017,1.222
Temperature change,World,Temperature change,November,2018,0.946
Temperature change,World,Temperature change,November,2019,1.367
Temperature change,World,Temperature change,November,2020,1.905
Temperature change,World,Temperature change,December,1990,0.516
Temperature change,World,Temperature change,December,1991,0.188
Temperature change,World,Temperature change,December,1992,0.395
Temperature change,World,Temperature change,December,1993,0.466
Temperature change,World,Temperature change,December,1994,0.522
Temperature change,World,Temperature change,December,1995,0.414
Temperature change,World,Temperature change,December,1996,0.596
Temperature change,World,Temperature change,December,1997,0.659
Temperature change,World,Temperature change,December,1998,1.037
Temperature change,World,Temperature change,December,1999,1.122
Temperature change,World,Temperature change,December,2000,0.223
Temperature change,World,Temperature change,December,2001,0.732
Temperature change,World,Temperature change,December,2002,0.346
Temperature change,World,Temperature change,December,2003,1.425
Temperature change,World,Temperature change,December,2004,0.508
Temperature change,World,Temperature change,December,2005,1.064
Temperature change,World,Temperature change,December,2006,1.439
Temperature change,World,Temperature change,December,2007,0.968
Temperature change,World,Temperature change,December,2008,0.794
Temperature change,World,Temperature change,December,2009,0.592
Temperature change,World,Temperature change,December,2010,0.613
Temperature change,World,Temperature change,December,2011,1.027
Temperature change,World,Temperature change,December,2012,0.283
Temperature change,World,Temperature change,December,2013,1.032
Temperature change,World,Temperature change,December,2014,1.349
Temperature change,World,Temperature change,December,2015,1.994
Temperature change,World,Temperature change,December,2016,1.246
Temperature change,World,Temperature change,December,2017,1.632
Temperature change,World,Temperature change,December,2018,1.216
Temperature change,World,Temperature change,December,2019,1.821
Temperature change,World,Temperature change,December,2020,1.322
Temperature change,Oceania,Temperature change,January,1990,0.751
Temperature change,Oceania,Temperature change,January,1991,0.544
Temperature change,Oceania,Temperature change,January,1992,-0.091
Temperature change,Oceania,Temperature change,January,1993,0.53
Temperature change,Oceania,Temperature change,January,1994,0.915
Temperature change,Oceania,Temperature change,January,1995,0.431
Temperature change,Oceania,Temperature change,January,1996,0.247
Temperature change,Oceania,Temperature change,January,1997,-0.151
Temperature change,Oceania,Temperature change,January,1998,0.97
Temperature change,Oceania,Temperature change,January,1999,1.287
Temperature change,Oceania,Temperature change,January,2000,-0.49
Temperature change,Oceania,Temperature change,January,2001,1.236
Temperature change,Oceania,Temperature change,January,2002,0.162
Temperature change,Oceania,Temperature change,January,2003,0.825
Temperature change,Oceania,Temperature change,January,2004,0.647
Temperature change,Oceania,Temperature change,January,2005,0.669
Temperature change,Oceania,Temperature change,January,2006,1.157
Temperature change,Oceania,Temperature change,January,2007,0.324
Temperature change,Oceania,Temperature change,January,2008,1.298
Temperature change,Oceania,Temperature change,January,2009,0.689
Temperature change,Oceania,Temperature change,January,2010,0.817
Temperature change,Oceania,Temperature change,January,2011,1.028
Temperature change,Oceania,Temperature change,January,2012,0.268
Temperature change,Oceania,Temperature change,January,2013,1.865
Temperature change,Oceania,Temperature change,January,2014,1.156
Temperature change,Oceania,Temperature change,January,2015,0.416
Temperature change,Oceania,Temperature change,January,2016,0.913
Temperature change,Oceania,Temperature change,January,2017,1.03
Temperature change,Oceania,Temperature change,January,2018,1.536
Temperature change,Oceania,Temperature change,January,2019,2.603
Temperature change,Oceania,Temperature change,January,2020,1.457
Temperature change,Oceania,Temperature change,February,1990,-0.099
Temperature change,Oceania,Temperature change,February,1991,0.704
Temperature change,Oceania,Temperature change,February,1992,0.435
Temperature change,Oceania,Temperature change,February,1993,-0.16
Temperature change,Oceania,Temperature change,February,1994,0.105
Temperature change,Oceania,Temperature change,February,1995,-0.055
Temperature change,Oceania,Temperature change,February,1996,0.42
Temperature change,Oceania,Temperature change,February,1997,0.986
Temperature change,Oceania,Temperature change,February,1998,1.39
Temperature change,Oceania,Temperature change,February,1999,0.328
Temperature change,Oceania,Temperature change,February,2000,0.319
Temperature change,Oceania,Temperature change,February,2001,0.569
Temperature change,Oceania,Temperature change,February,2002,-0.346
Temperature change,Oceania,Temperature change,February,2003,0.961
Temperature change,Oceania,Temperature change,February,2004,0.882
Temperature change,Oceania,Temperature change,February,2005,0.811
Temperature change,Oceania,Temperature change,February,2006,0.675
Temperature change,Oceania,Temperature change,February,2007,1.691
Temperature change,Oceania,Temperature change,February,2008,-0.199
Temperature change,Oceania,Temperature change,February,2009,0.65
Temperature change,Oceania,Temperature change,February,2010,1.049
Temperature change,Oceania,Temperature change,February,2011,0.084
Temperature change,Oceania,Temperature change,February,2012,-0.033
Temperature change,Oceania,Temperature change,February,2013,0.999
Temperature change,Oceania,Temperature change,February,2014,0.383
Temperature change,Oceania,Temperature change,February,2015,1.759
Temperature change,Oceania,Temperature change,February,2016,1.337
Temperature change,Oceania,Temperature change,February,2017,0.723
Temperature change,Oceania,Temperature change,February,2018,1.024
Temperature change,Oceania,Temperature change,February,2019,1.415
Temperature change,Oceania,Temperature change,February,2020,1.066
Temperature change,Oceania,Temperature change,March,1990,1.104
Temperature change,Oceania,Temperature change,March,1991,0.312
Temperature change,Oceania,Temperature change,March,1992,0.919
Temperature change,Oceania,Temperature change,March,1993,0.157
Temperature change,Oceania,Temperature change,March,1994,-0.588
Temperature change,Oceania,Temperature change,March,1995,-0.425
Temperature change,Oceania,Temperature change,March,1996,0.119
Temperature change,Oceania,Temperature change,March,1997,-0.566
Temperature change,Oceania,Temperature change,March,1998,1.22
Temperature change,Oceania,Temperature change,March,1999,0.559
Temperature change,Oceania,Temperature change,March,2000,0.036
Temperature change,Oceania,Temperature change,March,2001,-0.409
Temperature change,Oceania,Temperature change,March,2002,0.388
Temperature change,Oceania,Temperature change,March,2003,-0.259
Temperature change,Oceania,Temperature change,March,2004,0.381
Temperature change,Oceania,Temperature change,March,2005,1.018
Temperature change,Oceania,Temperature change,March,2006,0.676
Temperature change,Oceania,Temperature change,March,2007,0.675
Temperature change,Oceania,Temperature change,March,2008,0.57
Temperature change,Oceania,Temperature change,March,2009,0.493
Temperature change,Oceania,Temperature change,March,2010,0.426
Temperature change,Oceania,Temperature change,March,2011,-0.572
Temperature change,Oceania,Temperature change,March,2012,-0.725
Temperature change,Oceania,Temperature change,March,2013,0.874
Temperature change,Oceania,Temperature change,March,2014,0.909
Temperature change,Oceania,Temperature change,March,2015,0.82
Temperature change,Oceania,Temperature change,March,2016,1.731
Temperature change,Oceania,Temperature change,March,2017,1.592
Temperature change,Oceania,Temperature change,March,2018,1.035
Temperature change,Oceania,Temperature change,March,2019,1.817
Temperature change,Oceania,Temperature change,March,2020,0.526
Temperature change,Oceania,Temperature change,April,1990,0.274
Temperature change,Oceania,Temperature change,April,1991,0.43
Temperature change,Oceania,Temperature change,April,1992,0.754
Temperature change,Oceania,Temperature change,April,1993,1.161
Temperature change,Oceania,Temperature change,April,1994,0.023
Temperature change,Oceania,Temperature change,April,1995,-0.518
Temperature change,Oceania,Temperature change,April,1996,-0.012
Temperature change,Oceania,Temperature change,April,1997,0.221
Temperature change,Oceania,Temperature change,April,1998,0.66
Temperature change,Oceania,Temperature change,April,1999,-0.621
Temperature change,Oceania,Temperature change,April,2000,0.181
Temperature change,Oceania,Temperature change,April,2001,0.313
Temperature change,Oceania,Temperature change,April,2002,1.662
Temperature change,Oceania,Temperature change,April,2003,0.891
Temperature change,Oceania,Temperature change,April,2004,0.945
Temperature change,Oceania,Temperature change,April,2005,2.309
Temperature change,Oceania,Temperature change,April,2006,-0.311
Temperature change,Oceania,Temperature change,April,2007,0.952
Temperature change,Oceania,Temperature change,April,2008,-0.287
Temperature change,Oceania,Temperature change,April,2009,0.74
Temperature change,Oceania,Temperature change,April,2010,1.442
Temperature change,Oceania,Temperature change,April,2011,-0.303
Temperature change,Oceania,Temperature change,April,2012,0.291
Temperature change,Oceania,Temperature change,April,2013,1.178
Temperature change,Oceania,Temperature change,April,2014,1.276
Temperature change,Oceania,Temperature change,April,2015,-0.338
Temperature change,Oceania,Temperature change,April,2016,2.014
Temperature change,Oceania,Temperature change,April,2017,0.318
Temperature change,Oceania,Temperature change,April,2018,2.187
Temperature change,Oceania,Temperature change,April,2019,1.22
Temperature change,Oceania,Temperature change,April,2020,1.493
Temperature change,Oceania,Temperature change,May,1990,1.182
Temperature change,Oceania,Temperature change,May,1991,0.703
Temperature change,Oceania,Temperature change,May,1992,0.719
Temperature change,Oceania,Temperature change,May,1993,1.022
Temperature change,Oceania,Temperature change,May,1994,0.627
Temperature change,Oceania,Temperature change,May,1995,0.194
Temperature change,Oceania,Temperature change,May,1996,0.691
Temperature change,Oceania,Temperature change,May,1997,0.433
Temperature change,Oceania,Temperature change,May,1998,1.577
Temperature change,Oceania,Temperature change,May,1999,1.295
Temperature change,Oceania,Temperature change,May,2000,-0.537
Temperature change,Oceania,Temperature change,May,2001,-0.002
Temperature change,Oceania,Temperature change,May,2002,1.594
Temperature change,Oceania,Temperature change,May,2003,1.324
Temperature change,Oceania,Temperature change,May,2004,0.437
Temperature change,Oceania,Temperature change,May,2005,1.486
Temperature change,Oceania,Temperature change,May,2006,-0.447
Temperature change,Oceania,Temperature change,May,2007,2.093
Temperature change,Oceania,Temperature change,May,2008,0.588
Temperature change,Oceania,Temperature change,May,2009,0.35
Temperature change,Oceania,Temperature change,May,2010,0.878
Temperature change,Oceania,Temperature change,May,2011,-0.722
Temperature change,Oceania,Temperature change,May,2012,-0.066
Temperature change,Oceania,Temperature change,May,2013,1.42
Temperature change,Oceania,Temperature change,May,2014,1.935
Temperature change,Oceania,Temperature change,May,2015,0.331
Temperature change,Oceania,Temperature change,May,2016,2.273
Temperature change,Oceania,Temperature change,May,2017,1.015
Temperature change,Oceania,Temperature change,May,2018,0.668
Temperature change,Oceania,Temperature change,May,2019,0.928
Temperature change,Oceania,Temperature change,May,2020,-0.138
Temperature change,Oceania,Temperature change,June,1990,-0.282
Temperature change,Oceania,Temperature change,June,1991,1.632
Temperature change,Oceania,Temperature change,June,1992,0.223
Temperature change,Oceania,Temperature change,June,1993,0.086
Temperature change,Oceania,Temperature change,June,1994,0.056
Temperature change,Oceania,Temperature change,June,1995,0.41
Temperature change,Oceania,Temperature change,June,1996,1.964
Temperature change,Oceania,Temperature change,June,1997,0.067
Temperature change,Oceania,Temperature change,June,1998,0.71
Temperature change,Oceania,Temperature change,June,1999,0.514
Temperature change,Oceania,Temperature change,June,2000,-0.536
Temperature change,Oceania,Temperature change,June,2001,0.857
Temperature change,Oceania,Temperature change,June,2002,0.478
Temperature change,Oceania,Temperature change,June,2003,0.875
Temperature change,Oceania,Temperature change,June,2004,0.676
Temperature change,Oceania,Temperature change,June,2005,1.033
Temperature change,Oceania,Temperature change,June,2006,-0.743
Temperature change,Oceania,Temperature change,June,2007,-1.095
Temperature change,Oceania,Temperature change,June,2008,1.09
Temperature change,Oceania,Temperature change,June,2009,0.658
Temperature change,Oceania,Temperature change,June,2010,0.445
Temperature change,Oceania,Temperature change,June,2011,-0.434
Temperature change,Oceania,Temperature change,June,2012,-0.454
Temperature change,Oceania,Temperature change,June,2013,0.853
Temperature change,Oceania,Temperature change,June,2014,0.591
Temperature change,Oceania,Temperature change,June,2015,1.265
Temperature change,Oceania,Temperature change,June,2016,1.287
Temperature change,Oceania,Temperature change,June,2017,0.534
Temperature change,Oceania,Temperature change,June,2018,0.325
Temperature change,Oceania,Temperature change,June,2019,0.272
Temperature change,Oceania,Temperature change,June,2020,1.006
Temperature change,Oceania,Temperature change,July,1990,0.729
Temperature change,Oceania,Temperature change,July,1991,0.554
Temperature change,Oceania,Temperature change,July,1992,0.688
Temperature change,Oceania,Temperature change,July,1993,1.159
Temperature change,Oceania,Temperature change,July,1994,0.362
Temperature change,Oceania,Temperature change,July,1995,0.505
Temperature change,Oceania,Temperature change,July,1996,0.955
Temperature change,Oceania,Temperature change,July,1997,-0.279
Temperature change,Oceania,Temperature change,July,1998,0.728
Temperature change,Oceania,Temperature change,July,1999,0.789
Temperature change,Oceania,Temperature change,July,2000,0.763
Temperature change,Oceania,Temperature change,July,2001,0.592
Temperature change,Oceania,Temperature change,July,2002,0.564
Temperature change,Oceania,Temperature change,July,2003,0.96
Temperature change,Oceania,Temperature change,July,2004,0.442
Temperature change,Oceania,Temperature change,July,2005,1.271
Temperature change,Oceania,Temperature change,July,2006,0.211
Temperature change,Oceania,Temperature change,July,2007,0.396
Temperature change,Oceania,Temperature change,July,2008,0.461
Temperature change,Oceania,Temperature change,July,2009,0.84
