Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
ET,Temperature change,1,World,7271,Temperature change,7009,September,1995,1995,°C,0.656,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7010,October,1995,1995,°C,0.843,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7011,November,1995,1995,°C,0.768,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7012,December,1995,1995,°C,0.414,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7001,January,1995,1995,°C,0.5,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7002,February,1995,1995,°C,1.331,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7003,March,1995,1995,°C,0.366,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7004,April,1995,1995,°C,-0.385,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7005,May,1995,1995,°C,0.474,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7006,June,1995,1995,°C,0.732,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7007,July,1995,1995,°C,-0.006,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7008,August,1995,1995,°C,0.055,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7009,September,1995,1995,°C,0.407,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7010,October,1995,1995,°C,0.943,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7011,November,1995,1995,°C,1.148,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7012,December,1995,1995,°C,0.602,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7001,January,1996,1996,°C,0.271,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7002,February,1996,1996,°C,0.806,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7003,March,1996,1996,°C,0.298,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7004,April,1996,1996,°C,0.099,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7005,May,1996,1996,°C,0.602,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7006,June,1996,1996,°C,0.375,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7007,July,1996,1996,°C,0.466,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7008,August,1996,1996,°C,0.371,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7009,September,1996,1996,°C,0.099,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7010,October,1996,1996,°C,0.187,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7011,November,1996,1996,°C,0.415,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7012,December,1996,1996,°C,0.596,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7001,January,1996,1996,°C,0.44,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7002,February,1996,1996,°C,0.526,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7003,March,1996,1996,°C,0.095,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7004,April,1996,1996,°C,-0.643,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7005,May,1996,1996,°C,0.392,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7006,June,1996,1996,°C,0.174,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7007,July,1996,1996,°C,-0.029,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7008,August,1996,1996,°C,-0.002,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7009,September,1996,1996,°C,0.425,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7010,October,1996,1996,°C,0.368,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7011,November,1996,1996,°C,-0.011,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7012,December,1996,1996,°C,1.035,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7001,January,1997,1997,°C,0.567,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7002,February,1997,1997,°C,0.791,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7003,March,1997,1997,°C,0.829,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7004,April,1997,1997,°C,0.631,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7005,May,1997,1997,°C,0.455,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7006,June,1997,1997,°C,0.675,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7007,July,1997,1997,°C,0.508,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7008,August,1997,1997,°C,0.669,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7009,September,1997,1997,°C,0.76,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7010,October,1997,1997,°C,0.822,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7011,November,1997,1997,°C,0.632,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7012,December,1997,1997,°C,0.659,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7001,January,1997,1997,°C,1.296,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7002,February,1997,1997,°C,0.951,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7003,March,1997,1997,°C,1.883,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7004,April,1997,1997,°C,0.766,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7005,May,1997,1997,°C,0.965,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7006,June,1997,1997,°C,0.409,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7007,July,1997,1997,°C,0.52,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7008,August,1997,1997,°C,0.689,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7009,September,1997,1997,°C,-0.608,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7010,October,1997,1997,°C,0.198,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7011,November,1997,1997,°C,0.501,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7012,December,1997,1997,°C,0.626,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7001,January,1998,1998,°C,0.782,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7002,February,1998,1998,°C,1.75,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7003,March,1998,1998,°C,0.97,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7004,April,1998,1998,°C,1.329,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7005,May,1998,1998,°C,1.011,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7006,June,1998,1998,°C,1.048,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7007,July,1998,1998,°C,1.203,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7008,August,1998,1998,°C,1.122,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7009,September,1998,1998,°C,0.88,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7010,October,1998,1998,°C,0.817,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7011,November,1998,1998,°C,0.382,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7012,December,1998,1998,°C,1.037,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7001,January,1998,1998,°C,0.128,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7002,February,1998,1998,°C,3.158,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7003,March,1998,1998,°C,0.862,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7004,April,1998,1998,°C,2.647,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7005,May,1998,1998,°C,0.777,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7006,June,1998,1998,°C,0.794,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7007,July,1998,1998,°C,0.574,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7008,August,1998,1998,°C,0.424,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7009,September,1998,1998,°C,1.504,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7010,October,1998,1998,°C,1.749,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7011,November,1998,1998,°C,1.709,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7012,December,1998,1998,°C,1.999,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7001,January,1999,1999,°C,1.019,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7002,February,1999,1999,°C,1.737,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7003,March,1999,1999,°C,0.375,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7004,April,1999,1999,°C,0.816,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7005,May,1999,1999,°C,0.619,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7006,June,1999,1999,°C,0.666,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7007,July,1999,1999,°C,0.686,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7008,August,1999,1999,°C,0.567,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7009,September,1999,1999,°C,0.679,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7010,October,1999,1999,°C,0.633,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7011,November,1999,1999,°C,0.61,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7012,December,1999,1999,°C,1.122,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7001,January,1999,1999,°C,2.372,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7002,February,1999,1999,°C,3.449,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7003,March,1999,1999,°C,0.293,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7004,April,1999,1999,°C,1.453,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7005,May,1999,1999,°C,0.489,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7006,June,1999,1999,°C,0.798,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7007,July,1999,1999,°C,0.548,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7008,August,1999,1999,°C,0.201,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7009,September,1999,1999,°C,1.15,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7010,October,1999,1999,°C,0.648,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7011,November,1999,1999,°C,1.123,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7012,December,1999,1999,°C,1.151,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7001,January,2000,2000,°C,0.482,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7002,February,2000,2000,°C,1.238,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7003,March,2000,2000,°C,1.158,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7004,April,2000,2000,°C,1.382,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7005,May,2000,2000,°C,0.744,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7006,June,2000,2000,°C,0.614,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7007,July,2000,2000,°C,0.529,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7008,August,2000,2000,°C,0.679,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7009,September,2000,2000,°C,0.471,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7010,October,2000,2000,°C,0.276,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7011,November,2000,2000,°C,0.094,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7012,December,2000,2000,°C,0.223,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7001,January,2000,2000,°C,0.176,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7002,February,2000,2000,°C,-0.171,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7003,March,2000,2000,°C,0.842,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7004,April,2000,2000,°C,0.693,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7005,May,2000,2000,°C,1.571,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7006,June,2000,2000,°C,0.976,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7007,July,2000,2000,°C,1.18,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7008,August,2000,2000,°C,0.393,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7009,September,2000,2000,°C,0.626,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7010,October,2000,2000,°C,-0.093,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7011,November,2000,2000,°C,-0.702,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7012,December,2000,2000,°C,0.973,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7001,January,2001,2001,°C,0.817,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7002,February,2001,2001,°C,0.607,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7003,March,2001,2001,°C,1.196,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7004,April,2001,2001,°C,0.971,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7005,May,2001,2001,°C,1.013,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7006,June,2001,2001,°C,0.686,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7007,July,2001,2001,°C,0.833,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7008,August,2001,2001,°C,0.981,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7009,September,2001,2001,°C,0.694,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7010,October,2001,2001,°C,0.64,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7011,November,2001,2001,°C,1.334,E,Estimated value
ET,Temperature change,1,World,7271,Temperature change,7012,December,2001,2001,°C,0.732,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7001,January,2001,2001,°C,0.72,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7002,February,2001,2001,°C,1.438,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7003,March,2001,2001,°C,1.14,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7004,April,2001,2001,°C,0.489,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7005,May,2001,2001,°C,1.108,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7006,June,2001,2001,°C,1.066,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7007,July,2001,2001,°C,1.076,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7008,August,2001,2001,°C,0.405,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7009,September,2001,2001,°C,0.816,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7010,October,2001,2001,°C,1.302,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7011,November,2001,2001,°C,1.695,E,Estimated value
ET,Temperature change,159,China,7271,Temperature change,7012,December,2001,2001,°C,-0.244,E,Estimated value
